model,family,algorithm,seed_index,actual_rng_seed,true_types,final_cumulative_regret,analytic_outcome_history,matched_to_pact_seed,source_file
DeepSeek-V3.2,PACT-family,hpsmg_plus,0,0,3|2|2,0.0,True,True,E2_DeepSeek_V3_2_c19_beta0p25.npz
DeepSeek-V3.2,PACT-family,hpsmg_plus,1,1,1|2|3,2.0000000000000018,True,True,E2_DeepSeek_V3_2_c19_beta0p25.npz
DeepSeek-V3.2,PACT-family,hpsmg_plus,2,2,3|1|0,0.0,True,True,E2_DeepSeek_V3_2_c19_beta0p25.npz
DeepSeek-V3.2,PACT-family,hpsmg_plus,3,3,3|0|0,7.549516567451064e-15,True,True,E2_DeepSeek_V3_2_c19_beta0p25.npz
DeepSeek-V3.2,PACT-family,hpsmg_plus,4,4,2|3|3,0.0,True,True,E2_DeepSeek_V3_2_c19_beta0p25.npz
DeepSeek-V3.2,LLM-coordination,atom_tom0,0,120000,1|1|1,0.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom0,1,120001,3|1|1,13.000000000000004,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom0,2,120002,2|3|2,16.999999999999996,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom0,3,120003,0|0|2,0.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom0,4,120004,1|1|2,0.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom1,0,130000,2|2|3,17.650000000000002,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom1,1,130001,0|2|3,17.51000000000001,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom1,2,130002,3|2|0,16.399999999999995,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom1,3,130003,3|3|0,28.820000000000007,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom1,4,130004,1|0|0,2.999999999999997,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom2,0,140000,1|0|1,2.5700000000000007,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom2,1,140001,1|3|0,13.48,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom2,2,140002,0|1|3,17.299999999999997,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom2,3,140003,0|2|1,3.110000000000005,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_tom2,4,140004,3|3|2,30.55000000000001,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_ftl,0,150000,1|2|3,16.48999999999999,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_ftl,1,150001,1|3|2,14.420000000000002,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_ftl,2,150002,1|3|0,12.5,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_ftl,3,150003,2|2|3,16.200000000000003,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_ftl,4,150004,2|0|3,15.109999999999992,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_hedge,0,160000,1|0|3,9.679999999999998,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_hedge,1,160001,1|0|2,1.6700000000000044,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_hedge,2,160002,0|0|1,0.0,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
DeepSeek-V3.2,LLM-coordination,atom_adaptive_hedge,3,160003,3|0|1,10.799999999999994,True,False,E2_external_llm_baselines_DeepSeek_V3_2_c19_K20_s5.npz
