experiment,model,family,algorithm,seed_index,episode_k,instant_regret,cumulative_regret,welfare,source
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,1,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,2,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,3,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,4,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,5,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,6,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,7,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,8,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,9,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,10,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,11,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,12,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,13,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,14,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,15,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,16,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,17,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,18,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,19,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,0,20,0,0,2.9,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,1,0.1,0.1,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,2,0.1,0.2,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,3,0.1,0.3,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,4,0.1,0.4,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,5,0.1,0.5,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,6,0.1,0.6,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,7,0.1,0.7,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,8,0.1,0.8,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,9,0.1,0.9,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,10,0.1,1,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,11,0.1,1.1,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,12,0.1,1.2,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,13,0.1,1.3,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,14,0.1,1.4,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,15,0.1,1.5,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,16,0.1,1.6,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,17,0.1,1.7,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,18,0.1,1.8,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,19,0.1,1.9,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,1,20,0.1,2,2.8,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,1,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,2,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,3,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,4,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,5,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,6,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,7,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,8,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,9,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,10,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,11,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,12,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,13,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,14,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,15,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,16,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,17,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,18,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,19,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,2,20,0,0,2.6,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,1,0,0,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,2,0,0,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,3,0,0,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,4,4.440892099e-16,4.440892099e-16,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,5,4.440892099e-16,8.881784197e-16,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,6,4.440892099e-16,1.33226763e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,7,4.440892099e-16,1.776356839e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,8,4.440892099e-16,2.220446049e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,9,4.440892099e-16,2.664535259e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,10,4.440892099e-16,3.108624469e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,11,4.440892099e-16,3.552713679e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,12,4.440892099e-16,3.996802889e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,13,4.440892099e-16,4.440892099e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,14,4.440892099e-16,4.884981308e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,15,4.440892099e-16,5.329070518e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,16,4.440892099e-16,5.773159728e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
E5_cross_model_c19_beta0p25_K20,DeepSeek-V3.2,Native,hpsmg_plus,3,17,4.440892099e-16,6.217248938e-15,2.7,results/cloudgpt/E2_DeepSeek_V3_2_c19_beta0p25.npz
